date,close,volume,future_return,label,ticker,executive,company
2024-06-25,444.9342041015625,16413400,0.018472106649810242,1,MSFT,Satya Nadella,Microsoft
2024-06-26,446.12811279296875,16507000,0.019041878204708127,1,MSFT,Satya Nadella,Microsoft
2024-06-27,446.80889892578125,14806300,0.03248308828461159,1,MSFT,Satya Nadella,Microsoft
2024-06-28,440.987548828125,28362300,0.04315923290067736,1,MSFT,Satya Nadella,Microsoft
2024-07-01,450.6371154785156,17662800,0.006152449226718058,1,MSFT,Satya Nadella,Microsoft
2024-07-02,453.153076171875,13979800,0.01517605320791007,1,MSFT,Satya Nadella,Microsoft
2024-07-03,454.62322998046875,9932800,-0.013173508873609846,0,MSFT,Satya Nadella,Microsoft
2024-07-05,461.3226318359375,16000300,-0.029964039580276543,0,MSFT,Satya Nadella,Microsoft
2024-07-08,460.0202331542969,12962300,-0.026338364155947782,0,MSFT,Satya Nadella,Microsoft
2024-07-09,453.4096374511719,17207200,-0.0218043932128572,0,MSFT,Satya Nadella,Microsoft
2024-07-10,460.0301513671875,18196100,-0.0487508249156775,0,MSFT,Satya Nadella,Microsoft
2024-07-11,448.6342468261719,23111200,-0.03151532697401721,0,MSFT,Satya Nadella,Microsoft
2024-07-12,447.4995422363281,16324300,-0.036247418363690116,0,MSFT,Satya Nadella,Microsoft
2024-07-15,447.904052734375,14429400,-0.024275256661479384,0,MSFT,Satya Nadella,Microsoft
2024-07-16,443.5233154296875,17175700,-0.010388779699576946,0,MSFT,Satya Nadella,Microsoft
2024-07-17,437.6033020019531,21778000,-0.032963408123849104,0,MSFT,Satya Nadella,Microsoft
2024-07-18,434.4953918457031,20794800,-0.04988992133124075,0,MSFT,Satya Nadella,Microsoft
2024-07-19,431.2788391113281,20940400,-0.027087041634514787,0,MSFT,Satya Nadella,Microsoft
2024-07-22,437.03106689453125,15808800,-0.036596354602736164,0,MSFT,Satya Nadella,Microsoft
2024-07-23,438.9156494140625,13107100,-0.04929751582282441,0,MSFT,Satya Nadella,Microsoft
2024-07-24,423.17840576171875,26805800,-0.02459790390078108,0,MSFT,Satya Nadella,Microsoft
2024-07-25,412.8184509277344,29943800,-0.003083261287321467,0,MSFT,Satya Nadella,Microsoft
2024-07-26,419.5967712402344,23583800,-0.03945729204448764,0,MSFT,Satya Nadella,Microsoft
2024-07-29,421.0373229980469,15125800,-0.07400458273955571,0,MSFT,Satya Nadella,Microsoft
2024-07-30,417.2781982421875,32687600,-0.05511698211677412,0,MSFT,Satya Nadella,Microsoft
2024-07-31,412.76910400390625,42891400,-0.04761556921095953,0,MSFT,Satya Nadella,Microsoft
2024-08-01,411.5456237792969,30296400,-0.03457113689364902,0,MSFT,Satya Nadella,Microsoft
2024-08-02,403.0406188964844,29437900,-0.006046641757847357,0,MSFT,Satya Nadella,Microsoft
2024-08-05,389.8786315917969,40709200,0.029507630321466572,1,MSFT,Satya Nadella,Microsoft
2024-08-06,394.2790832519531,24946500,0.03603525365880126,1,MSFT,Satya Nadella,Microsoft
2024-08-07,393.1148681640625,20650900,0.04625648638972152,1,MSFT,Satya Nadella,Microsoft
2024-08-08,397.3180236816406,20203000,0.04742814081568181,1,MSFT,Satya Nadella,Microsoft
2024-08-09,400.60357666015625,19276700,0.03252119413927562,1,MSFT,Satya Nadella,Microsoft
2024-08-12,401.3830261230469,16762900,0.03805164622837648,1,MSFT,Satya Nadella,Microsoft
2024-08-13,408.4870300292969,19414300,0.027911433906277653,1,MSFT,Satya Nadella,Microsoft
2024-08-14,411.2989807128906,18267000,0.019297871369536288,1,MSFT,Satya Nadella,Microsoft
2024-08-15,416.1620788574219,20752100,-0.013015664453219557,0,MSFT,Satya Nadella,Microsoft
2024-08-16,413.6316833496094,22775600,-0.004014569109088518,0,MSFT,Satya Nadella,Microsoft
2024-08-19,416.65631103515625,15234000,-0.019073325601695862,0,MSFT,Satya Nadella,Microsoft
2024-08-20,419.88848876953125,16387600,-0.0258003070883688,0,MSFT,Satya Nadella,Microsoft
2024-08-21,419.2361755371094,16067300,-0.031923422047236874,0,MSFT,Satya Nadella,Microsoft
2024-08-22,410.7454528808594,19361900,-0.005847552180806932,0,MSFT,Satya Nadella,Microsoft
2024-08-23,411.97113037109375,18493800,0.0008398848251079487,1,MSFT,Satya Nadella,Microsoft
2024-08-26,408.70928955078125,13152800,-0.009794672963085695,0,MSFT,Satya Nadella,Microsoft
2024-08-27,409.05523681640625,13492900,-0.011937028580142438,0,MSFT,Satya Nadella,Microsoft
2024-08-28,405.85272216796875,14882700,-0.005382442054587336,0,MSFT,Satya Nadella,Microsoft
2024-08-29,408.3435974121094,17045200,-0.027643298287827536,0,MSFT,Satya Nadella,Microsoft
2024-08-30,412.317138671875,24308300,-0.02737704510344607,0,MSFT,Satya Nadella,Microsoft
2024-09-03,404.70611572265625,20313600,0.011625686861351847,1,MSFT,Satya Nadella,Microsoft
2024-09-04,404.1723327636719,15135800,0.03458070077293587,1,MSFT,Satya Nadella,Microsoft
2024-09-05,403.6682434082031,14195500,0.04556919382726811,1,MSFT,Satya Nadella,Microsoft
2024-09-06,397.0556335449219,19609500,0.07191916142374606,1,MSFT,Satya Nadella,Microsoft
2024-09-09,401.02911376953125,15295100,0.06314701510289765,1,MSFT,Satya Nadella,Microsoft
2024-09-10,409.4111022949219,19594300,0.05057938965455322,1,MSFT,Satya Nadella,Microsoft
2024-09-11,418.1488952636719,19266900,0.01836686480702717,1,MSFT,Satya Nadella,Microsoft
2024-09-12,422.0630798339844,17395700,0.02737697306965941,1,MSFT,Satya Nadella,Microsoft
2024-09-13,425.6115417480469,15874600,0.01086893937585071,1,MSFT,Satya Nadella,Microsoft
2024-09-16,426.3529052734375,13834700,0.005030802967231782,1,MSFT,Satya Nadella,Microsoft
2024-09-17,430.1188659667969,18874200,-0.013742382913176296,0,MSFT,Satya Nadella,Microsoft
2024-09-18,425.8289794921875,18898000,0.003017580311381379,1,MSFT,Satya Nadella,Microsoft
2024-09-19,433.6178894042969,21706600,-0.016822683928562253,0,MSFT,Satya Nadella,Microsoft
2024-09-20,430.23748779296875,55167100,-0.016656379171489447,0,MSFT,Satya Nadella,Microsoft
2024-09-23,428.497802734375,15128900,-0.00740459237422705,0,MSFT,Satya Nadella,Microsoft
2024-09-24,424.2080078125,17015800,-0.01975907539095143,0,MSFT,Satya Nadella,Microsoft
2024-09-25,427.11395263671875,13396400,-0.03466700772453194,0,MSFT,Satya Nadella,Microsoft
2024-09-26,426.3232727050781,14492000,-0.03424453718284801,0,MSFT,Satya Nadella,Microsoft
2024-09-27,423.0712890625,14896100,-0.027942682786081134,0,MSFT,Satya Nadella,Microsoft
2024-09-30,425.324951171875,16807300,-0.04824536731164304,0,MSFT,Satya Nadella,Microsoft
2024-10-01,415.8260498046875,19092900,-0.014214737525638885,0,MSFT,Satya Nadella,Microsoft
2024-10-02,412.30718994140625,16582300,0.0007910894666822398,1,MSFT,Satya Nadella,Microsoft
2024-10-03,411.7240295410156,13686400,-0.001680481297196364,0,MSFT,Satya Nadella,Microsoft
2024-10-04,411.2495422363281,19169700,0.0006251194268254448,1,MSFT,Satya Nadella,Microsoft
2024-10-07,404.80499267578125,20919800,0.023440799418001982,1,MSFT,Satya Nadella,Microsoft
2024-10-08,409.9151916503906,19229300,0.009717541581916336,1,MSFT,Satya Nadella,Microsoft
2024-10-09,412.63336181640625,14974300,-0.0032097814020532246,0,MSFT,Satya Nadella,Microsoft
2024-10-10,411.0321350097656,13848400,0.0021161654713398124,1,MSFT,Satya Nadella,Microsoft
2024-10-11,411.5066223144531,14144900,0.004419526812357143,1,MSFT,Satya Nadella,Microsoft
2024-10-14,414.2939453125,16653100,-0.0008588949101563512,0,MSFT,Satya Nadella,Microsoft
2024-10-15,413.8985595703125,18900200,0.02094387606885627,1,MSFT,Satya Nadella,Microsoft
2024-10-16,411.30889892578125,15508900,0.020378742180642645,1,MSFT,Satya Nadella,Microsoft
2024-10-17,411.9019470214844,14820000,0.019221537973460132,1,MSFT,Satya Nadella,Microsoft
2024-10-18,413.3252868652344,17145300,0.023890338953279362,1,MSFT,Satya Nadella,Microsoft
2024-10-21,413.9381103515625,14206100,0.01864939673799411,1,MSFT,Satya Nadella,Microsoft
2024-10-22,422.56719970703125,25482200,0.01038566495569119,1,MSFT,Satya Nadella,Microsoft
2024-10-23,419.69085693359375,19654400,0.018676335745755477,1,MSFT,Satya Nadella,Microsoft
2024-10-24,419.8193359375,13581600,-0.04327444783028414,0,MSFT,Satya Nadella,Microsoft
2024-10-25,423.19976806640625,16899100,-0.04152743735131506,0,MSFT,Satya Nadella,Microsoft
2024-10-28,421.6578063964844,14882400,-0.04249988944684557,0,MSFT,Satya Nadella,Microsoft
2024-10-29,426.9558410644531,17644100,-0.0474360831847979,0,MSFT,Satya Nadella,Microsoft
2024-10-30,427.5291442871094,29749100,-0.028552869438282853,0,MSFT,Satya Nadella,Microsoft
2024-10-31,401.6518859863281,53971000,0.04695445270002748,1,MSFT,Satya Nadella,Microsoft
2024-11-01,405.6253662109375,24230400,0.02965617507447599,1,MSFT,Satya Nadella,Microsoft
2024-11-04,403.7373962402344,19672300,0.023380709431310705,1,MSFT,Satya Nadella,Microsoft
2024-11-05,406.7027282714844,17626000,0.028119429707053476,1,MSFT,Satya Nadella,Microsoft
2024-11-06,415.32196044921875,26681800,0.011947224208205142,1,MSFT,Satya Nadella,Microsoft
2024-11-07,420.51123046875,19901800,0.0034318839721460695,1,MSFT,Satya Nadella,Microsoft
2024-11-08,417.6546630859375,16891400,-0.017844528028802018,0,MSFT,Satya Nadella,Microsoft
2024-11-11,413.17706298828125,24503300,-0.005382677846036623,0,MSFT,Satya Nadella,Microsoft
2024-11-12,418.13897705078125,19401200,-0.012386821430349117,0,MSFT,Satya Nadella,Microsoft
2024-11-13,420.2839050292969,21502200,-0.02283627131637891,0,MSFT,Satya Nadella,Microsoft
2024-11-14,421.9543762207031,30246900,-0.030906294323528972,0,MSFT,Satya Nadella,Microsoft
2024-11-15,410.2018127441406,28247600,0.0068305656224349484,1,MSFT,Satya Nadella,Microsoft
2024-11-18,410.95306396484375,24727000,0.009304023210860449,1,MSFT,Satya Nadella,Microsoft
2024-11-19,412.9595642089844,18133500,0.026464656482158143,1,MSFT,Satya Nadella,Microsoft
2024-11-20,410.6861877441406,19191700,0.020088702357408006,1,MSFT,Satya Nadella,Microsoft
2024-11-21,408.913330078125,20780200,0.02564960245601403,1,MSFT,Satya Nadella,Microsoft
2024-11-22,413.00372314453125,24814600,0.033525289386052454,1,MSFT,Satya Nadella,Microsoft
2024-11-25,414.7765808105469,27691100,0.02963307897884537,1,MSFT,Satya Nadella,Microsoft
2024-11-26,423.8883972167969,23458900,0.022033229001492082,1,MSFT,Satya Nadella,Microsoft
2024-11-27,418.93634033203125,18332400,0.0464077537791092,1,MSFT,Satya Nadella,Microsoft
2024-11-29,419.40179443359375,16271900,0.04748984898302098,1,MSFT,Satya Nadella,Microsoft
2024-12-02,426.84979248046875,20207200,0.034897155318497575,1,MSFT,Satya Nadella,Microsoft
2024-12-03,427.06768798828125,18302000,0.028130675137632472,1,MSFT,Satya Nadella,Microsoft
2024-12-04,433.22802734375,26009400,0.026450660523346832,1,MSFT,Satya Nadella,Microsoft
2024-12-05,438.37823486328125,21697800,0.015679323411750604,1,MSFT,Satya Nadella,Microsoft
